Agente,Fecha,Hora,Tema,Respondido (S/N),Resuelto,Velocidad de respuesta en segundos,Duración promedio de la llamada,Calificación de satisfacción,Duración de la llamada,Duración de la llamada en minutos,NombreDia,NombreMes
Martha,2021-01-21,12,Admin Support,Y,Y,107.0,00:00:50,4.0,50,0.83,Thursday,January
Greg,2021-01-21,12,Technical Support,Y,Y,122.0,00:06:25,5.0,385,6.42,Thursday,January
Stewart,2021-01-21,12,Technical Support,Y,Y,18.0,00:00:37,5.0,37,0.62,Thursday,January
Stewart,2021-01-21,15,Streaming,Y,Y,99.0,00:02:14,4.0,134,2.23,Thursday,January
Dan,2021-01-21,16,Contract related,Y,Y,52.0,00:01:47,2.0,107,1.78,Thursday,January
Jim,2021-01-21,16,Contract related,Y,Y,79.0,00:00:47,3.0,47,0.78,Thursday,January
Martha,2021-01-21,16,Streaming,Y,Y,112.0,00:02:51,5.0,171,2.85,Thursday,January
Diane,2021-01-21,16,Payment related,Y,Y,16.0,00:04:23,3.0,263,4.38,Thursday,January
Joe,2021-01-21,16,Contract related,Y,Y,22.0,00:06:58,3.0,418,6.97,Thursday,January
Dan,2021-01-21,16,Contract related,Y,Y,115.0,00:01:25,1.0,85,1.42,Thursday,January
Dan,2021-01-21,17,Technical Support,Y,Y,125.0,00:04:37,4.0,277,4.62,Thursday,January
Martha,2021-01-21,17,Payment related,Y,Y,68.0,00:05:06,3.0,306,5.1,Thursday,January
Jim,2021-01-21,17,Technical Support,Y,Y,44.0,00:01:16,4.0,76,1.27,Thursday,January
Stewart,2021-01-21,17,Streaming,Y,Y,119.0,00:00:42,4.0,42,0.7,Thursday,January
Martha,2021-01-21,17,Streaming,Y,Y,62.0,00:00:54,5.0,54,0.9,Thursday,January
Greg,2021-01-21,17,Streaming,Y,Y,84.0,00:06:04,5.0,364,6.07,Thursday,January
Greg,2021-01-21,17,Streaming,Y,Y,75.0,00:06:28,4.0,388,6.47,Thursday,January
Martha,2021-01-21,17,Payment related,Y,Y,114.0,00:02:54,4.0,174,2.9,Thursday,January
Stewart,2021-01-21,17,Admin Support,Y,Y,21.0,00:02:10,4.0,130,2.17,Thursday,January
Diane,2021-01-22,9,Admin Support,Y,Y,20.0,00:01:08,3.0,68,1.13,Friday,January
Diane,2021-01-22,9,Technical Support,Y,Y,112.0,00:03:37,1.0,217,3.62,Friday,January
Becky,2021-01-22,9,Streaming,Y,Y,85.0,00:05:24,4.0,324,5.4,Friday,January
Martha,2021-01-22,9,Admin Support,Y,Y,34.0,00:06:07,3.0,367,6.12,Friday,January
Diane,2021-01-22,9,Streaming,Y,Y,53.0,00:05:02,4.0,302,5.03,Friday,January
Martha,2021-01-22,9,Streaming,Y,Y,103.0,00:02:14,5.0,134,2.23,Friday,January
Becky,2021-01-22,9,Contract related,Y,Y,98.0,00:06:53,4.0,413,6.88,Friday,January
Becky,2021-01-22,9,Technical Support,Y,Y,23.0,00:04:44,1.0,284,4.73,Friday,January
Martha,2021-01-22,9,Admin Support,Y,Y,53.0,00:01:17,2.0,77,1.28,Friday,January
Diane,2021-01-22,10,Contract related,Y,N,55.0,00:04:40,4.0,280,4.67,Friday,January
Martha,2021-01-22,11,Admin Support,Y,Y,77.0,00:05:02,5.0,302,5.03,Friday,January
Becky,2021-01-22,11,Technical Support,Y,Y,46.0,00:06:05,3.0,365,6.08,Friday,January
Martha,2021-01-22,11,Payment related,Y,Y,39.0,00:05:05,4.0,305,5.08,Friday,January
Greg,2021-01-22,11,Payment related,Y,Y,13.0,00:07:00,3.0,420,7.0,Friday,January
Jim,2021-01-22,11,Admin Support,Y,Y,84.0,00:05:34,5.0,334,5.57,Friday,January
Dan,2021-01-22,11,Admin Support,Y,Y,60.0,00:04:46,3.0,286,4.77,Friday,January
Dan,2021-01-22,11,Admin Support,Y,Y,32.0,00:00:35,5.0,35,0.58,Friday,January
Dan,2021-01-22,14,Payment related,Y,Y,67.0,00:06:42,4.0,402,6.7,Friday,January
Stewart,2021-01-22,14,Streaming,Y,N,94.0,00:03:58,4.0,238,3.97,Friday,January
Stewart,2021-01-22,14,Streaming,Y,Y,92.0,00:06:10,1.0,370,6.17,Friday,January
Becky,2021-01-22,14,Streaming,Y,Y,35.0,00:01:10,3.0,70,1.17,Friday,January
Diane,2021-01-22,14,Admin Support,Y,Y,57.0,00:01:21,5.0,81,1.35,Friday,January
Jim,2021-01-22,14,Admin Support,Y,Y,15.0,00:04:55,4.0,295,4.92,Friday,January
Becky,2021-01-22,14,Admin Support,Y,N,54.0,00:03:15,5.0,195,3.25,Friday,January
Greg,2021-01-22,14,Payment related,Y,Y,99.0,00:01:00,1.0,60,1.0,Friday,January
Becky,2021-01-22,16,Streaming,Y,Y,78.0,00:01:05,5.0,65,1.08,Friday,January
Jim,2021-01-22,16,Payment related,Y,N,35.0,00:05:09,5.0,309,5.15,Friday,January
Stewart,2021-01-22,16,Contract related,Y,Y,33.0,00:06:09,5.0,369,6.15,Friday,January
Greg,2021-01-22,16,Streaming,Y,Y,72.0,00:04:09,5.0,249,4.15,Friday,January
Joe,2021-01-22,16,Technical Support,Y,N,82.0,00:05:02,1.0,302,5.03,Friday,January
Greg,2021-01-22,17,Payment related,Y,Y,115.0,00:04:12,5.0,252,4.2,Friday,January
Diane,2021-01-22,17,Streaming,Y,Y,64.0,00:01:42,3.0,102,1.7,Friday,January
Jim,2021-01-22,17,Payment related,Y,Y,71.0,00:04:01,2.0,241,4.02,Friday,January
Becky,2021-01-22,17,Streaming,Y,N,50.0,00:05:08,3.0,308,5.13,Friday,January
Greg,2021-01-23,9,Streaming,Y,Y,116.0,00:01:13,2.0,73,1.22,Saturday,January
Martha,2021-01-23,9,Admin Support,Y,Y,52.0,00:01:27,5.0,87,1.45,Saturday,January
Greg,2021-01-23,9,Technical Support,Y,Y,112.0,00:03:37,5.0,217,3.62,Saturday,January
Stewart,2021-01-23,9,Admin Support,Y,Y,116.0,00:02:42,3.0,162,2.7,Saturday,January
Becky,2021-01-23,9,Payment related,Y,N,112.0,00:06:18,2.0,378,6.3,Saturday,January
Dan,2021-01-23,9,Streaming,Y,Y,53.0,00:05:46,4.0,346,5.77,Saturday,January
Diane,2021-01-23,9,Admin Support,Y,Y,12.0,00:05:31,3.0,331,5.52,Saturday,January
Joe,2021-01-23,9,Technical Support,Y,N,120.0,00:00:54,4.0,54,0.9,Saturday,January
Dan,2021-01-23,10,Technical Support,Y,Y,118.0,00:02:49,4.0,169,2.82,Saturday,January
Jim,2021-01-23,11,Contract related,Y,Y,121.0,00:02:49,2.0,169,2.82,Saturday,January
Martha,2021-01-23,11,Streaming,Y,Y,83.0,00:06:48,5.0,408,6.8,Saturday,January
Joe,2021-01-23,11,Streaming,Y,Y,84.0,00:01:21,5.0,81,1.35,Saturday,January
Becky,2021-01-23,11,Payment related,Y,N,63.0,00:05:00,4.0,300,5.0,Saturday,January
Jim,2021-01-23,11,Technical Support,Y,Y,33.0,00:03:29,3.0,209,3.48,Saturday,January
Greg,2021-01-23,11,Admin Support,Y,N,10.0,00:01:01,5.0,61,1.02,Saturday,January
Joe,2021-01-23,11,Admin Support,Y,Y,100.0,00:00:42,5.0,42,0.7,Saturday,January
Diane,2021-01-23,11,Contract related,Y,Y,110.0,00:05:03,5.0,303,5.05,Saturday,January
Stewart,2021-01-23,11,Payment related,Y,Y,28.0,00:05:16,2.0,316,5.27,Saturday,January
Joe,2021-01-23,11,Admin Support,Y,Y,74.0,00:01:15,3.0,75,1.25,Saturday,January
Jim,2021-01-23,11,Admin Support,Y,Y,18.0,00:01:21,3.0,81,1.35,Saturday,January
Becky,2021-01-23,11,Streaming,Y,Y,22.0,00:06:12,3.0,372,6.2,Saturday,January
Martha,2021-01-23,11,Contract related,Y,Y,15.0,00:03:37,3.0,217,3.62,Saturday,January
Martha,2021-01-23,11,Admin Support,Y,Y,120.0,00:04:12,2.0,252,4.2,Saturday,January
Martha,2021-01-23,12,Contract related,Y,Y,26.0,00:03:47,3.0,227,3.78,Saturday,January
Diane,2021-01-23,12,Payment related,Y,Y,33.0,00:01:44,5.0,104,1.73,Saturday,January
Dan,2021-01-23,12,Streaming,Y,Y,18.0,00:01:14,4.0,74,1.23,Saturday,January
Greg,2021-01-23,12,Payment related,Y,Y,29.0,00:05:55,5.0,355,5.92,Saturday,January
Greg,2021-01-23,12,Payment related,Y,Y,89.0,00:01:34,2.0,94,1.57,Saturday,January
Diane,2021-01-23,13,Admin Support,Y,Y,44.0,00:03:12,5.0,192,3.2,Saturday,January
Diane,2021-01-23,13,Contract related,Y,N,62.0,00:03:33,4.0,213,3.55,Saturday,January
Dan,2021-01-23,13,Admin Support,Y,Y,29.0,00:01:50,5.0,110,1.83,Saturday,January
Joe,2021-01-23,13,Admin Support,Y,Y,10.0,00:06:42,5.0,402,6.7,Saturday,January
Dan,2021-01-23,14,Payment related,Y,Y,75.0,00:02:00,4.0,120,2.0,Saturday,January
Dan,2021-01-23,14,Technical Support,Y,Y,33.0,00:01:06,5.0,66,1.1,Saturday,January
Becky,2021-01-23,16,Payment related,Y,N,56.0,00:01:58,4.0,118,1.97,Saturday,January
Stewart,2021-01-23,16,Contract related,Y,N,31.0,00:00:31,3.0,31,0.52,Saturday,January
Greg,2021-01-23,16,Streaming,Y,Y,56.0,00:01:20,2.0,80,1.33,Saturday,January
Jim,2021-01-23,16,Payment related,Y,Y,53.0,00:01:43,4.0,103,1.72,Saturday,January
Diane,2021-01-23,16,Technical Support,Y,Y,12.0,00:05:48,3.0,348,5.8,Saturday,January
Stewart,2021-01-23,16,Streaming,Y,Y,53.0,00:06:03,3.0,363,6.05,Saturday,January
Diane,2021-01-23,16,Streaming,Y,Y,116.0,00:04:58,3.0,298,4.97,Saturday,January
Joe,2021-01-23,17,Payment related,Y,Y,19.0,00:01:11,4.0,71,1.18,Saturday,January
Joe,2021-01-23,17,Streaming,Y,Y,74.0,00:05:54,2.0,354,5.9,Saturday,January
Greg,2021-01-23,17,Streaming,Y,Y,85.0,00:02:44,3.0,164,2.73,Saturday,January
Diane,2021-01-24,9,Streaming,Y,Y,48.0,00:06:36,2.0,396,6.6,Sunday,January
Joe,2021-01-24,9,Payment related,Y,Y,57.0,00:04:32,3.0,272,4.53,Sunday,January
Jim,2021-01-24,9,Admin Support,Y,N,116.0,00:05:09,3.0,309,5.15,Sunday,January
Greg,2021-01-24,9,Admin Support,Y,Y,21.0,00:00:50,1.0,50,0.83,Sunday,January
Martha,2021-01-24,9,Contract related,Y,Y,87.0,00:02:11,3.0,131,2.18,Sunday,January
Joe,2021-01-24,9,Technical Support,Y,Y,42.0,00:03:56,3.0,236,3.93,Sunday,January
Greg,2021-01-24,9,Technical Support,Y,Y,86.0,00:01:28,1.0,88,1.47,Sunday,January
Joe,2021-01-24,9,Payment related,Y,Y,95.0,00:03:05,5.0,185,3.08,Sunday,January
Jim,2021-01-24,9,Technical Support,Y,Y,109.0,00:05:47,3.0,347,5.78,Sunday,January
Greg,2021-01-24,10,Admin Support,Y,Y,104.0,00:05:35,2.0,335,5.58,Sunday,January
Martha,2021-01-24,10,Payment related,Y,Y,123.0,00:01:55,1.0,115,1.92,Sunday,January
Martha,2021-01-24,10,Streaming,Y,Y,72.0,00:05:11,5.0,311,5.18,Sunday,January
Stewart,2021-01-24,10,Contract related,Y,N,28.0,00:00:52,4.0,52,0.87,Sunday,January
Dan,2021-01-24,10,Streaming,Y,Y,124.0,00:03:13,4.0,193,3.22,Sunday,January
Jim,2021-01-24,10,Payment related,Y,Y,16.0,00:04:35,4.0,275,4.58,Sunday,January
Joe,2021-01-24,10,Admin Support,Y,Y,125.0,00:00:31,3.0,31,0.52,Sunday,January
Dan,2021-01-24,11,Contract related,Y,Y,61.0,00:03:05,3.0,185,3.08,Sunday,January
Diane,2021-01-24,11,Streaming,Y,Y,55.0,00:06:30,1.0,390,6.5,Sunday,January
Becky,2021-01-24,11,Technical Support,Y,Y,41.0,00:03:54,4.0,234,3.9,Sunday,January
Greg,2021-01-24,11,Contract related,Y,Y,81.0,00:06:19,3.0,379,6.32,Sunday,January
Stewart,2021-01-24,12,Contract related,Y,Y,112.0,00:03:43,3.0,223,3.72,Sunday,January
Diane,2021-01-24,12,Streaming,Y,Y,58.0,00:04:19,4.0,259,4.32,Sunday,January
Jim,2021-01-24,12,Streaming,Y,N,61.0,00:00:42,5.0,42,0.7,Sunday,January
Becky,2021-01-24,12,Payment related,Y,Y,51.0,00:06:44,3.0,404,6.73,Sunday,January
Jim,2021-01-24,13,Streaming,Y,Y,102.0,00:03:59,4.0,239,3.98,Sunday,January
Joe,2021-01-24,13,Payment related,Y,Y,19.0,00:05:43,4.0,343,5.72,Sunday,January
Dan,2021-01-24,13,Streaming,Y,Y,33.0,00:03:06,2.0,186,3.1,Sunday,January
Joe,2021-01-24,13,Technical Support,Y,Y,113.0,00:06:04,3.0,364,6.07,Sunday,January
Diane,2021-01-24,14,Technical Support,Y,Y,28.0,00:03:50,5.0,230,3.83,Sunday,January
Dan,2021-01-24,14,Technical Support,Y,Y,46.0,00:04:43,1.0,283,4.72,Sunday,January
Joe,2021-01-24,14,Technical Support,Y,Y,76.0,00:01:09,3.0,69,1.15,Sunday,January
Diane,2021-01-24,14,Technical Support,Y,Y,124.0,00:03:09,2.0,189,3.15,Sunday,January
Martha,2021-01-24,14,Technical Support,Y,Y,96.0,00:04:30,2.0,270,4.5,Sunday,January
Greg,2021-01-24,14,Streaming,Y,N,110.0,00:05:03,5.0,303,5.05,Sunday,January
Dan,2021-01-24,15,Payment related,Y,Y,116.0,00:03:39,5.0,219,3.65,Sunday,January
Dan,2021-01-24,15,Payment related,Y,Y,14.0,00:06:11,5.0,371,6.18,Sunday,January
Stewart,2021-01-24,15,Admin Support,Y,Y,53.0,00:06:01,4.0,361,6.02,Sunday,January
Joe,2021-01-24,15,Streaming,Y,Y,37.0,00:04:49,2.0,289,4.82,Sunday,January
Greg,2021-01-24,16,Admin Support,Y,Y,68.0,00:00:43,1.0,43,0.72,Sunday,January
Greg,2021-01-24,16,Streaming,Y,Y,43.0,00:03:10,3.0,190,3.17,Sunday,January
Greg,2021-01-24,16,Technical Support,Y,Y,19.0,00:02:21,3.0,141,2.35,Sunday,January
Stewart,2021-01-24,16,Technical Support,Y,Y,47.0,00:04:26,3.0,266,4.43,Sunday,January
Greg,2021-01-24,17,Payment related,Y,Y,84.0,00:06:21,4.0,381,6.35,Sunday,January
Jim,2021-01-24,17,Payment related,Y,Y,17.0,00:02:35,1.0,155,2.58,Sunday,January
Becky,2021-01-24,17,Payment related,Y,Y,116.0,00:01:17,4.0,77,1.28,Sunday,January
Diane,2021-01-24,17,Admin Support,Y,Y,22.0,00:01:46,4.0,106,1.77,Sunday,January
Jim,2021-01-24,17,Technical Support,Y,Y,10.0,00:06:13,4.0,373,6.22,Sunday,January
Dan,2021-01-25,9,Streaming,Y,Y,76.0,00:01:32,4.0,92,1.53,Monday,January
Joe,2021-01-25,9,Payment related,Y,Y,104.0,00:06:36,4.0,396,6.6,Monday,January
Jim,2021-01-25,9,Streaming,Y,Y,44.0,00:06:50,3.0,410,6.83,Monday,January
Jim,2021-01-25,9,Admin Support,Y,Y,24.0,00:03:40,5.0,220,3.67,Monday,January
Dan,2021-01-25,9,Technical Support,Y,Y,40.0,00:06:57,3.0,417,6.95,Monday,January
Becky,2021-01-25,9,Payment related,Y,Y,57.0,00:05:45,4.0,345,5.75,Monday,January
Stewart,2021-01-25,9,Technical Support,Y,Y,19.0,00:06:23,3.0,383,6.38,Monday,January
Martha,2021-01-25,9,Streaming,Y,Y,55.0,00:06:35,3.0,395,6.58,Monday,January
Martha,2021-01-25,10,Contract related,Y,Y,102.0,00:05:13,5.0,313,5.22,Monday,January
Joe,2021-01-25,10,Payment related,Y,N,123.0,00:00:38,3.0,38,0.63,Monday,January
Joe,2021-01-25,10,Streaming,Y,Y,115.0,00:05:58,4.0,358,5.97,Monday,January
Dan,2021-01-25,10,Technical Support,Y,Y,53.0,00:06:05,5.0,365,6.08,Monday,January
Diane,2021-01-25,11,Technical Support,Y,Y,61.0,00:02:05,5.0,125,2.08,Monday,January
Diane,2021-01-25,11,Technical Support,Y,Y,99.0,00:05:33,5.0,333,5.55,Monday,January
Greg,2021-01-25,11,Payment related,Y,N,57.0,00:02:26,3.0,146,2.43,Monday,January
Diane,2021-01-25,11,Contract related,Y,Y,24.0,00:04:43,3.0,283,4.72,Monday,January
Stewart,2021-01-25,11,Contract related,Y,Y,75.0,00:01:43,4.0,103,1.72,Monday,January
Joe,2021-01-25,11,Contract related,Y,Y,72.0,00:05:31,4.0,331,5.52,Monday,January
Stewart,2021-01-25,11,Payment related,Y,Y,73.0,00:03:14,4.0,194,3.23,Monday,January
Martha,2021-01-25,11,Payment related,Y,N,105.0,00:03:05,4.0,185,3.08,Monday,January
Greg,2021-01-25,11,Technical Support,Y,Y,75.0,00:03:45,3.0,225,3.75,Monday,January
Becky,2021-01-25,12,Payment related,Y,Y,29.0,00:04:49,4.0,289,4.82,Monday,January
Stewart,2021-01-25,12,Technical Support,Y,Y,41.0,00:01:43,1.0,103,1.72,Monday,January
Martha,2021-01-25,12,Admin Support,Y,Y,93.0,00:03:11,4.0,191,3.18,Monday,January
Dan,2021-01-25,12,Admin Support,Y,Y,73.0,00:05:35,3.0,335,5.58,Monday,January
Greg,2021-01-25,12,Payment related,Y,Y,112.0,00:01:21,4.0,81,1.35,Monday,January
Diane,2021-01-25,12,Payment related,Y,Y,37.0,00:05:39,4.0,339,5.65,Monday,January
Greg,2021-01-25,12,Contract related,Y,Y,59.0,00:05:50,5.0,350,5.83,Monday,January
Becky,2021-01-25,12,Technical Support,Y,Y,56.0,00:01:23,3.0,83,1.38,Monday,January
Greg,2021-01-25,12,Contract related,Y,Y,56.0,00:05:12,3.0,312,5.2,Monday,January
Stewart,2021-01-25,12,Admin Support,Y,Y,43.0,00:06:30,5.0,390,6.5,Monday,January
Dan,2021-01-25,12,Payment related,Y,Y,80.0,00:06:09,2.0,369,6.15,Monday,January
Jim,2021-01-25,12,Admin Support,Y,Y,66.0,00:06:03,3.0,363,6.05,Monday,January
Becky,2021-01-25,14,Contract related,Y,Y,54.0,00:04:11,3.0,251,4.18,Monday,January
Joe,2021-01-25,14,Streaming,Y,Y,94.0,00:05:03,2.0,303,5.05,Monday,January
Martha,2021-01-25,14,Streaming,Y,Y,24.0,00:04:04,4.0,244,4.07,Monday,January
Martha,2021-01-25,14,Contract related,Y,Y,108.0,00:06:36,3.0,396,6.6,Monday,January
Joe,2021-01-25,14,Payment related,Y,Y,106.0,00:00:54,3.0,54,0.9,Monday,January
Becky,2021-01-25,14,Payment related,Y,Y,111.0,00:06:03,3.0,363,6.05,Monday,January
Joe,2021-01-25,14,Admin Support,Y,Y,56.0,00:03:18,3.0,198,3.3,Monday,January
Dan,2021-01-25,15,Contract related,Y,Y,78.0,00:05:10,4.0,310,5.17,Monday,January
Stewart,2021-01-25,15,Streaming,Y,Y,15.0,00:02:10,3.0,130,2.17,Monday,January
Martha,2021-01-25,15,Streaming,Y,Y,50.0,00:00:32,3.0,32,0.53,Monday,January
Dan,2021-01-25,15,Streaming,Y,Y,53.0,00:03:48,3.0,228,3.8,Monday,January
Joe,2021-01-25,15,Technical Support,Y,Y,106.0,00:06:35,1.0,395,6.58,Monday,January
Diane,2021-01-25,15,Admin Support,Y,Y,44.0,00:05:57,5.0,357,5.95,Monday,January
Greg,2021-01-25,15,Admin Support,Y,Y,31.0,00:04:53,3.0,293,4.88,Monday,January
Joe,2021-01-25,15,Admin Support,Y,Y,41.0,00:05:02,5.0,302,5.03,Monday,January
Becky,2021-01-25,16,Streaming,Y,Y,109.0,00:05:46,3.0,346,5.77,Monday,January
Martha,2021-01-25,16,Admin Support,Y,Y,13.0,00:01:09,3.0,69,1.15,Monday,January
Diane,2021-01-25,17,Payment related,Y,Y,19.0,00:06:38,5.0,398,6.63,Monday,January
Stewart,2021-01-25,17,Contract related,Y,Y,76.0,00:05:44,5.0,344,5.73,Monday,January
Becky,2021-01-26,9,Contract related,Y,Y,86.0,00:01:02,4.0,62,1.03,Tuesday,January
Martha,2021-01-26,9,Contract related,Y,Y,63.0,00:02:25,4.0,145,2.42,Tuesday,January
Dan,2021-01-26,9,Payment related,Y,Y,113.0,00:00:51,5.0,51,0.85,Tuesday,January
Greg,2021-01-26,9,Admin Support,Y,Y,84.0,00:01:17,3.0,77,1.28,Tuesday,January
Jim,2021-01-26,9,Admin Support,Y,N,41.0,00:03:26,4.0,206,3.43,Tuesday,January
Becky,2021-01-26,9,Payment related,Y,Y,13.0,00:03:53,3.0,233,3.88,Tuesday,January
Jim,2021-01-26,9,Payment related,Y,Y,79.0,00:02:50,3.0,170,2.83,Tuesday,January
Diane,2021-01-26,10,Contract related,Y,Y,103.0,00:02:31,3.0,151,2.52,Tuesday,January
Diane,2021-01-26,10,Contract related,Y,Y,68.0,00:02:18,3.0,138,2.3,Tuesday,January
Diane,2021-01-26,10,Contract related,Y,Y,57.0,00:05:29,2.0,329,5.48,Tuesday,January
Diane,2021-01-26,10,Payment related,Y,Y,72.0,00:01:31,3.0,91,1.52,Tuesday,January
Stewart,2021-01-26,10,Streaming,Y,Y,53.0,00:05:52,5.0,352,5.87,Tuesday,January
Becky,2021-01-26,10,Contract related,Y,Y,16.0,00:03:35,1.0,215,3.58,Tuesday,January
Becky,2021-01-26,10,Technical Support,Y,Y,77.0,00:01:42,3.0,102,1.7,Tuesday,January
Dan,2021-01-26,10,Payment related,Y,Y,68.0,00:06:48,5.0,408,6.8,Tuesday,January
Dan,2021-01-26,10,Streaming,Y,Y,50.0,00:02:46,4.0,166,2.77,Tuesday,January
Dan,2021-01-26,11,Payment related,Y,Y,68.0,00:05:16,3.0,316,5.27,Tuesday,January
Diane,2021-01-26,11,Streaming,Y,Y,39.0,00:03:52,5.0,232,3.87,Tuesday,January
Diane,2021-01-26,11,Contract related,Y,Y,78.0,00:06:35,4.0,395,6.58,Tuesday,January
Diane,2021-01-26,12,Streaming,Y,Y,106.0,00:01:52,3.0,112,1.87,Tuesday,January
Dan,2021-01-26,12,Admin Support,Y,Y,66.0,00:00:44,3.0,44,0.73,Tuesday,January
Greg,2021-01-26,12,Technical Support,Y,Y,120.0,00:04:21,5.0,261,4.35,Tuesday,January
Stewart,2021-01-26,12,Streaming,Y,Y,115.0,00:02:27,3.0,147,2.45,Tuesday,January
Stewart,2021-01-26,12,Payment related,Y,Y,28.0,00:04:37,4.0,277,4.62,Tuesday,January
Dan,2021-01-26,13,Streaming,Y,Y,57.0,00:01:30,3.0,90,1.5,Tuesday,January
Diane,2021-01-26,13,Streaming,Y,Y,110.0,00:05:17,2.0,317,5.28,Tuesday,January
Dan,2021-01-26,13,Technical Support,Y,Y,103.0,00:02:51,4.0,171,2.85,Tuesday,January
Jim,2021-01-26,13,Technical Support,Y,Y,94.0,00:06:12,5.0,372,6.2,Tuesday,January
Jim,2021-01-26,14,Streaming,Y,Y,61.0,00:04:47,5.0,287,4.78,Tuesday,January
Jim,2021-01-26,14,Streaming,Y,Y,77.0,00:04:26,2.0,266,4.43,Tuesday,January
Greg,2021-01-26,14,Contract related,Y,Y,56.0,00:03:44,4.0,224,3.73,Tuesday,January
Diane,2021-01-26,14,Admin Support,Y,Y,65.0,00:06:42,5.0,402,6.7,Tuesday,January
Becky,2021-01-26,14,Technical Support,Y,Y,99.0,00:05:42,3.0,342,5.7,Tuesday,January
Diane,2021-01-26,14,Admin Support,Y,Y,40.0,00:04:48,3.0,288,4.8,Tuesday,January
Stewart,2021-01-26,14,Payment related,Y,Y,110.0,00:05:20,3.0,320,5.33,Tuesday,January
Diane,2021-01-26,15,Admin Support,Y,Y,109.0,00:00:52,1.0,52,0.87,Tuesday,January
Martha,2021-01-26,15,Contract related,Y,Y,116.0,00:05:08,3.0,308,5.13,Tuesday,January
Martha,2021-01-26,15,Streaming,Y,Y,82.0,00:02:18,2.0,138,2.3,Tuesday,January
Greg,2021-01-26,15,Contract related,Y,Y,65.0,00:02:29,4.0,149,2.48,Tuesday,January
Dan,2021-01-26,15,Contract related,Y,Y,24.0,00:03:29,4.0,209,3.48,Tuesday,January
Diane,2021-01-26,15,Payment related,Y,Y,125.0,00:01:22,5.0,82,1.37,Tuesday,January
Greg,2021-01-26,15,Admin Support,Y,Y,87.0,00:01:04,5.0,64,1.07,Tuesday,January
Jim,2021-01-26,15,Streaming,Y,Y,119.0,00:00:43,4.0,43,0.72,Tuesday,January
Diane,2021-01-26,15,Contract related,Y,Y,94.0,00:00:46,4.0,46,0.77,Tuesday,January
Dan,2021-01-26,15,Payment related,Y,Y,19.0,00:05:37,1.0,337,5.62,Tuesday,January
Dan,2021-01-26,15,Contract related,Y,Y,68.0,00:02:44,3.0,164,2.73,Tuesday,January
Joe,2021-01-26,16,Payment related,Y,Y,36.0,00:06:22,3.0,382,6.37,Tuesday,January
Martha,2021-01-26,16,Payment related,Y,Y,50.0,00:01:06,4.0,66,1.1,Tuesday,January
Greg,2021-01-26,16,Contract related,Y,Y,60.0,00:02:14,3.0,134,2.23,Tuesday,January
Becky,2021-01-26,17,Contract related,Y,Y,38.0,00:06:58,1.0,418,6.97,Tuesday,January
Becky,2021-01-26,17,Contract related,Y,Y,115.0,00:06:15,3.0,375,6.25,Tuesday,January
Dan,2021-01-26,17,Streaming,Y,Y,82.0,00:06:37,1.0,397,6.62,Tuesday,January
Jim,2021-01-26,17,Technical Support,Y,Y,34.0,00:04:18,2.0,258,4.3,Tuesday,January
Diane,2021-01-27,9,Streaming,Y,Y,95.0,00:02:55,3.0,175,2.92,Wednesday,January
Diane,2021-01-27,9,Contract related,Y,Y,13.0,00:03:14,5.0,194,3.23,Wednesday,January
Becky,2021-01-27,9,Technical Support,Y,Y,22.0,00:04:12,3.0,252,4.2,Wednesday,January
Martha,2021-01-27,9,Admin Support,Y,Y,86.0,00:02:52,1.0,172,2.87,Wednesday,January
Joe,2021-01-27,9,Contract related,Y,Y,20.0,00:04:23,4.0,263,4.38,Wednesday,January
Martha,2021-01-27,9,Contract related,Y,Y,36.0,00:04:21,4.0,261,4.35,Wednesday,January
Martha,2021-01-27,9,Streaming,Y,Y,118.0,00:03:27,4.0,207,3.45,Wednesday,January
Stewart,2021-01-27,9,Contract related,Y,Y,40.0,00:04:06,4.0,246,4.1,Wednesday,January
Jim,2021-01-27,10,Contract related,Y,Y,97.0,00:06:37,4.0,397,6.62,Wednesday,January
Martha,2021-01-27,10,Contract related,Y,Y,75.0,00:02:50,4.0,170,2.83,Wednesday,January
Dan,2021-01-27,11,Technical Support,Y,Y,61.0,00:02:39,3.0,159,2.65,Wednesday,January
Dan,2021-01-27,11,Streaming,Y,Y,125.0,00:06:05,5.0,365,6.08,Wednesday,January
Dan,2021-01-27,12,Technical Support,Y,Y,33.0,00:05:52,5.0,352,5.87,Wednesday,January
Martha,2021-01-27,13,Streaming,Y,Y,50.0,00:03:51,5.0,231,3.85,Wednesday,January
Jim,2021-01-27,13,Admin Support,Y,Y,114.0,00:04:21,3.0,261,4.35,Wednesday,January
Dan,2021-01-27,13,Streaming,Y,Y,58.0,00:02:01,4.0,121,2.02,Wednesday,January
Diane,2021-01-27,13,Streaming,Y,Y,86.0,00:03:27,2.0,207,3.45,Wednesday,January
Dan,2021-01-27,13,Streaming,Y,Y,45.0,00:03:53,5.0,233,3.88,Wednesday,January
Dan,2021-01-27,13,Streaming,Y,Y,84.0,00:02:33,2.0,153,2.55,Wednesday,January
Diane,2021-01-27,13,Contract related,Y,Y,15.0,00:06:54,2.0,414,6.9,Wednesday,January
Stewart,2021-01-27,13,Admin Support,Y,Y,47.0,00:04:07,2.0,247,4.12,Wednesday,January
